,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
1128,2009.05.12,Provoked,GUAM,North Region,Spearfishing,M,Speared shark bit his forearm PROVOKED INCIDENT,N,Afternoon,"Blacktip shark, 4'"
1129,2009.05.06,Provoked,BAHAMAS,Exuma Islands,Spearfishing,M,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,N,,7' shark
1130,2009.04.28,Unprovoked,USA,Florida,,F,Multiple lacerations to right foot & ankle,N,16h45,
1131,2009.04.25.R,Unprovoked,USA,California,Surfing,M,No injury,N,10h00,
1132,2009.04.21,Unprovoked,USA,Florida,Surfing,M,3 puncture wounds to posterior right ankle,N,Late afternoon,
1133,2009.04.20,Unprovoked,PHILIPPINES,Batangas province,Swimming,M,Legs bitten,N,500,
1134,2009.04.19,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,16h00,
1135,2009.04.17.,Unprovoked,USA,Florida,Surfing,M,Laceration to forearm,N,13h15,2' to 3' shark
1136,2009.04.11,Invalid,USA,Hawaii,Spearfishing,M,Missing,U,,Shark involvement not confirmed
1137,2009.04.12,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,M,"No injury, catapulted into the water & ski damage",N,08h00,2' to 3' shark
1138,2009.04.06.b,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Body not recovered,U,Morning,Shark involvement not confirmed
1139,2009.04.06.a,Unprovoked,USA,California,Spearfishing,M,Shark struck him but the diver was not injured,N,07h45,"White shark, 12' to 15' female"
1140,2009.04.03,Unprovoked,USA,Florida,Wading,M,Lacerations to right foot and ankle,N,16h00,
1141,2009.03.27,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing ,M,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,N,,Raggedtooth shark
1142,2009.03.21,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,FATAL,Y,Afternoon,
1143,2009.03.20,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Laceration to right foot, puncture wounds to calf",N,18h45,Bronze whaler shark?
1144,2009.03.19.b,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark damaged surfboard",N,Early morning,
1145,2009.03.19.a,Unprovoked,AUSTRALIA,New South Wales,Surfing,F,"No injury, shark bit nose of surfboard",N,07h45,
1146,2009.03.18.a,Unprovoked,USA,Florida,Surfing,F,Minor bite to ankle,N,17h30,3' to 4' shark
1147,2009.03.17.R,Unprovoked,MALAYSIA,Strait of Malacca,Feeding fish,F,Minor injury,N,,Blacktip reef shark pup
1148,2009.03.17,Unprovoked,USA,Hawaii,Swimming,M,"Minor injury, bite chest and left calf",N,20h00,Thought to involve a cookie cutter shark
1149,2009.03.16.R,Provoked,AUSTRALIA,Western Australia,Wading,M,Thigh bitten when he trod on the shark PROVOKED INCIDENT,N,,"Wobbegong shark, 60cm"
1150,2009.03.06,Unprovoked,NEW CALEDONIA,South Province,Surfing,M,FATAL,Y,11h30,
1151,2009.03.02,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N,13h30,"Blue shark, 1m"
1152,2009.03.01.b,Boatomg,NEW ZEALAND,North Island,Fishing,M,"No injury to occupants, shark bit propeller",N,,
1153,2009.03.01.a,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Lacerations to leg,N,06h45,2.6 m shark
1154,2009.02.22,Unprovoked,AUSTRALIA,Queensland,Fishing,M,Severe laceration to finger,N,10h15,
1155,2009.02.18,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury to surfer, but the nose of his board was broken",N,17h00,
1156,2009.02.12,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe injury to hand ,N,19h30,"White shark, 2.5m "
1157,2009.02.11,Unprovoked,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",M,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,Before 07h00,"Bull shark, 2.7 m "
1158,2009.02.08,Sea Disaster,USA,Puerto Rico,Air Disaster,M,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y,,
1159,2009.02.07.b,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, surfboard dented",N,11h00,"White shark, 12' "
1160,2009.02.07.a,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, flung from surfboard by the shark",N,07h30,
1161,2009.01.27.R,Provoked,AZORES,,Fishing,M,Left forearm bitten PROVOKED INCIDENT,N,,
1162,2009.01.26.R,Invalid,BRAZIL,,,M,Probable drowning with post-mortem bites,U,,Shark involvement prior to death was not confirmed
1163,2009.01.25,Unprovoked,CUBA,Guantanamo Province,Spearfishing,M,Severe lacerations to lower left leg,N,10h30,Bull shark
1164,2009.01.24.c,Boat,NEW ZEALAND,North Island,Fishing,,"No injury to occupant, shark removed small auxiliary outboard motor",N,19h00,
1165,2009.01.24.b,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Hand injured,N,16h30,
1166,2009.01.24.a,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,FATAL,Y,14h00,Tiger shark
1167,2009.01.23,Invalid,BRAZIL,Maranhão,Swimming,M,"Drowned, body scavenged by shark",U,,Invalid
1168,2009.01.18,Boat,AUSTRALIA,Victoria,Fishing,M,"No injury to occupants, shark bit propeller",N,09h20,"White shark, 5.5 m "
1169,2009.01.16,Unprovoked,NEW ZEALAND,South Island,Surfing,M,"No injury, bumped off board by the shark",N,,
1170,2009.01.13.R,Unprovoked,SOUTH AFRICA,Western Cape Province,,,FATAL,Y,,White sharks
1171,2009.01.12,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,Puncture wounds to right calf,N,10h45,"Dusky shark, 2m"
1172,2009.01.11.b,Unprovoked,AUSTRALIA,Tasmania,Surfing,F,Severe lacerations to right leg,N,15h45,"White shark, 5m"
1173,2009.01.11.a,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Left thigh severely bitten,N,09h00,"White shark, 3.5m"
1174,2009.01.10.R,Boat,NEW ZEALAND,North Island,Fishing,,"No injury to occupants, shark hit boat & bit outboard motor",N,,"Mako shark, 3m"
1175,2009.01.10.a,Unprovoked,ECUADOR,Galapagos Islands,Surfing,M,Right lower leg bitten & defense wounds to hand,N,,
1176,2009.01.06,Unprovoked,NEW ZEALAND,North Island,Swimming,M,Posterior thigh bitten,N,17h30,Broadnose sevengill shark
1177,2009.01.00,Unprovoked,CUBA,Guantanamo Province,Spearfishing,,Lacerations to right calf,N,,Bull shark
1178,2008.12.30,Invalid,AUSTRALIA,Western Australia,Crabbing,,"Reports said a shark attacked the dinghy, but Vickery said it did not",U,09h30,No shark involvement
1179,2008.12.27.d,Boating,AUSTRALIA,Tasmania,Yacht race,,No injury to occupants -  shark became entangled in aft rudder,N,,2 m shark
1180,2008.12.27.c,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,M,"No injury, shark tore his swim fin",N,,
1181,2008.12.27.b,Boating,AUSTRALIA,New South Wales,Kayaking,M,"No injury, shark struck kayak, catapulting him into the water",N,11h00,"White shark, 4m to 5m "
1182,2008.12.27.a,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,FATAL,Y,07h00,4 to 5m white shark
1183,2008.12.20,Boating,USA,California,Kayaking,M,"No injury, shark struck paddle",N,15h00,White shark
1184,2008.12.14,Unprovoked,NEW ZEALAND,North Island,Fishing,M,Lacerations to left calf and ankle,N,,Bronze whaler shark?
1185,2008.12.10,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,20h00,"Raggedtooth shark, 2m"
1186,2008.12.06,Boating,AUSTRALIA,New South Wales,Fishing,,Shark bit boats sea anchor,N,Morning,"White shark, 4.5 to 5 m "
1187,2008.12.00,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,M,FATAL,Y,,Zambesi shark?
1188,2008.11.28,Unprovoked,EGYPT,Red Sea,Scuba diving,F,Lacerations to fingers,N,Morning,Oceanic whitetip shark
1189,2008.11.25,Sea Disaster,PHILIPPINES,Batanes Provine,Sinking of the cargo ship Mark Jason,M,"Of the 20 crew, 4 were bitten by shark. None of their iinjuries were life-threatening",N,,
1190,2008.11.24,Unprovoked,ECUADOR,Galapagos Islands,,F,Leg bitten,N,,
1191,2008.11.09.b,Boating,AUSTRALIA,South Australia,Fishing,M,"No injury to occupant, shark bit dinghy & motor",N,,Bronze whaler shark
1192,2008.11.09.a,Sea Disaster,TAIWAN,,Fishing boat swamped in storm,M,FATAL,Y,,
1193,2008.11.06,Unprovoked,PHILIPPINES,Luzon,Fishing,M,Torso & righ arm bitten FATAL,Y,10h00 -- 11h00,
1194,2008.10.22,Provoked,AUSTRALIA,New South Wales,Scuba diving,M,Small laceration to head from captive shark,N,17h20,"Grey nurse shark, 3m"
1195,2008.10.21,Unprovoked,NEW CALEDONIA,,Spearfishing,M,Legs bitten,N,11h00,Lemon shark
1196,2008.10.12,Provoked,AUSTRALIA,Northern Territory,Fishing,M,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N,," reef shark, 1.8m"
1197,2008.10.11,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, board damaged",N,15h30,
1198,2008.10.08,Unprovoked,USA,Florida,Fishing,M,Lacerations,N,12h00,
1199,2008.10.06,Unprovoked,CROATIA," Split-Dalmatia Count,",Spearfishing,M,Calf bitten,N,12h00,5 m white shark
1200,2008.09.28.b,Unprovoked,USA,Florida,Surfing,M,Small puncture wounds to the heel of left foot,N,11h45,
1201,2008.09.28.a,Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,11h00,+3' shark
1202,2008.09.15,Provoked,AUSTRALIA,Northern Territory,Swimming,M,Right hand lacerated by netted shark PROVOKED INCIDENT,N,14h30,Bronze whaler shark
1203,2008.09.14,Unprovoked,USA,Florida,Swimming,M,Lacerations to foot,N,12h00,2' to 3' juvenile shark
1204,2008.09.09,Unprovoked,USA,Hawaii,Surfing,M,Bitten on right thigh & calf,N,16h30,Tiger shark
1205,2008.09.08,Unprovoked,USA,California,Surfing,M,"No injury to surfer, board bitten",N,10h30,"White shark, 14' to 16' "
1206,2008.09.07,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,3 m shark
1207,2008.09.06.b,Unprovoked,USA,Florida,Surfing,M,Minor injury to foot,N,12h00,
1208,2008.09.06.a,Unprovoked,USA,Florida,Surfing,M,Minor injury to foot,N,12h00,
1209,2008.09.01,Unprovoked,USA,Florida,Surfing,M,Shark bumped right ankle,N,10h00,4' shark
1210,2008.09.00,Unprovoked,USA,Florida,Surfing,M,Right hand bitten,N,Morning,
1211,2008.08.30.c,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, bumped off board by the shark",N,,
1212,2008.08.30.b,Invalid,USA,Hawaii,Swimming,M,Death was probably due to drowning,U,19h20,Shark involvement not confirmed
1213,2008.08.30.a,Provoked,ENGLAND,North Devon,Fishing,M,Wrist bitten by hooked shark PROVOKED INCIDENT,N,,Blue shark
1214,2008.08.28,Unprovoked,USA,Florida,Surfing,M,Superfical cut to left ankle,N,12h00,
1215,2008.08.27,Unprovoked,USA,Florida,Surfing,M,Lacerations to lower left leg,N,11h00,6' shark
1216,2008.08.24,Unprovoked,USA,Florida,"Swimming, towing surfboard",M,Minor injury to left foot,N,15h00,
1217,2008.08.22,Invalid,USA,North Carolina,Surfing,F,Calf bitten,U,18h00,Shark involvement not confirmed
1218,2008.08.20,Unprovoked,USA,Florida,Swimming,M,3 lacerations to forearm,N,14h45,
1219,2008.08.18,Invalid,USA,South Carolina,,M,Minor injuries,U,,Shark involvement not confirmed
1220,2008.08.16,Unprovoked,USA,US Virgin Islands,Treading water,F,Severe lacerations to left foot,N,Dusk,8' bull shark or Caribbean reef shark
1221,2008.08.12,Unprovoked,USA,Florida,Wading,F,Puncture wounds & 3-inch laceration to right calf,N,12h05,
1222,2008.08.11,Unprovoked,USA,Hawaii,Diving,M,"No injury, shark grabbed his bag of fish",N,14h00,"Tiger shark, 12'"
1223,2008.07.30.R,Unprovoked,AUSTRALIA,Victoria,Surfing,M,"No injury, surfboard leash severed",N,10h30,8' white shark or 7-gill shark
1224,2008.07.30,Unprovoked,SOUTH AFRICA,,,M,Lacerations to fingers,N,,White shark
1225,2008.07.27,Unprovoked,PANAMA,San Carlos,Swimming or surfing,M,5 lacerations to left foot,N,18h00,3'  shark
1226,2008.07.26.b,Unprovoked,MEXICO,Cabo San Lucas,Swimming,M,3 puncture wounds to toe,N,,2'  shark
1227,2008.07.26.a,Unprovoked,USA,Hawaii,Swimming,M,Minor injury,N,15h30,2' to 3' reef shark
1228,2008.07.25.b,Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,09h00,
1229,2008.07.25.a,Unprovoked,USA,Hawaii,Snorkeling,F,Forearm bitten ,N,08h45,
1230,2008.07.24.b,Unprovoked,USA,North Carolina,Wading,M,Minor lacerations to  toe,N,,3' shark
1231,2008.07.24.a,Unprovoked,USA,North Carolina,Wading,F,Lacerations to dorsum of right foot ,N,13h00,3' to 4' shark
1232,2008.07.23,Provoked,USA,Florida,Surfing,M,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,14h30,
1233,2008.07.19,Unprovoked,USA,Florida,Wading,M,Lacerations to lower left leg,N,13h55,4' shark
1234,2008.07.18,Unprovoked,EGYPT,,Diving,M,Leg severed,N,,Oceanic whitetip shark
1235,2008.07.13,Invalid,USA,North Carolina,Body surfing,M,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",U,,Shark involvement not confirmed
1236,2008.07.11,Unprovoked,USA,South Carolina,Surfing,M,Laceration to foream,N,14h00,
1237,2008.07.09,Unprovoked,USA,North Carolina,Swimming,F,Lacerations to  right foot,N,19h30,
1238,2008.07.05,Unprovoked,USA,South Carolina,,F,Lacerations to right foot,N,14h21,
1239,2008.07.00,Boating,UNITED KINGDOM,Sussex,Rowing an inflatable dinghy,M,Shark leapt into & damaged the dinghy but no injury to occupants,N,,"Starry smoothhound shark, 1m"
1240,2008.06.28.c,Invalid,USA,Hawaii,Wading,M,Probable drowning with post-mortem bites,U,Afternoon,Shark involvement prior to death not confirmed
1241,2008.06.28.b,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to calf,N,11h00,"Bull shark, 6' to 7'"
1242,2008.06.28.a,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,"No injury, ski bitten",N,14h00,"White shark, 2m"
1243,2008.06.26.R,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing (free diving),M,No injury,N,,"White shark, 4.5m"
1244,2008.06.26.b,Unprovoked,USA,Florida,Surfing,M,Minor laceration to foot,N,Afternoon,
1245,2008.06.26.a,Unprovoked,USA,South Carolina,Swimming,M,Lacerations to hand,N,11h15,4.5 to 5' shark
1246,2008.06.24,Unprovoked,BRAZIL,Bahia,Surfing,M,"No injury, board bitten",N,Morning,
1247,2008.06.21,Boating,USA,California,Kayaking,F," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00,"White shark, 15'"
1248,2008.06.20,Unprovoked,USA,Florida,Wading,F,Lacerations to lower right calf,N,11h10,
1249,2008.06.11,Unprovoked,BRAZIL,Pernambuco,Surfing,M,Laceration to left leg & foot,N,,
1250,2008.06.07,Unprovoked,USA,Florida,Body surfing,M,Lacerations & abrasions to right hand,N,,
1251,2008.06.02.R,Boating,SCOTLAND,Easter Ross,Fishing,,No injury to occupants; shark struck their boat,N,,Basking shark
1252,2008.06.01.b,Unprovoked,USA,South Carolina,Body surfing,F,Foot bitten,N,18h30,5' shark
1253,2008.06.01.a,Unprovoked,BRAZIL,Pernambuco,Swimming,M,"Hand severed, buttocks bitten",N,15h00,Bull shark
1254,2008.05.26,Unprovoked,USA,North Carolina,Surfing,M,Biceps & lower arm bitten,N,15h50,
1255,2008.05.24.b,Sea Disaster,BAHAMAS,Grand Bahama Island,Sea Disaster,M,Boat capsized in squall. 2 bodies scavenged  by sharks,N,,Tiger sharks in area
1256,2008.05.24.a,Unprovoked,MEXICO,Guerro,Surfing,M,Lacerations to right forearm and hand,N,Early morning,3 m shark
1257,2008.05.23,Unprovoked,MEXICO,Guerro,Surfing,M,FATAL,Y,,2 m shark
1258,2008.05.14,Unprovoked,FIJI,Yasawa Islands,Night diving,M,FATAL,Y,Night,
1259,2008.05.10,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,Severe lacerations to left leg,N,07h30,"White shark, 4m"
1260,2008.05.07.b,Unprovoked,NEW CALEDONIA,North Province,Fishing,M,Lower legs bitten,N,14h00,2 small bull sharks
1261,2008.05.07.a,Unprovoked,USA,Florida,Wading,M,2 inch laceration to left lower calf.,N,Just before noon,
1262,2008.05.01,Provoked,SOUTH AFRICA,,Fishing,M,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,N,,
1263,2008.04.28.b,Unprovoked,MEXICO,Guerro,Surfing,M,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger shark
1264,2008.04.28.a,Unprovoked,USA,Florida,Surfing,M,3-inch laceration to dorsal surface of left foot,N,11h45,4' shark
1265,2008.04.27,Unprovoked,USA,Florida,Surfing,M,Calf bitten,N,10h30,
1266,2008.04.26.b,Unprovoked,NEW CALEDONIA,North Province,Swimming,M,Lacerations to left foot,N,Morning,"Bull shark, 1.8m"
1267,2008.04.26.a,Provoked,USA,Florida,Surfing,M,Puncture wounds to right foot                  PROVOKED INCIDENT,N,09h50,
1268,2008.04.25,Unprovoked,USA,California,Swimming,M,FATAL,Y,07h00,"White shark, 12' to 15'"
1269,2008.04.20.b,Unprovoked,USA,Florida,Surfing,M,Cuts & punctures to right foot,N,08h45,
1270,2008.04.20.a,Unprovoked,AUSTRALIA,New South Wales,,M,,U,,"Tiger shark, 2.3m "
1271,2008.04.19.R,Invalid,SOUTH AFRICA,KwaZulu-Natal,Free-diving,M,"As he pushd the shark away from his camera, his finger was cut on a tooth",U,,"Tiger shark, 13' female"
1272,2008.04.18,Invalid,MEXICO,Quintana Roo,Swimming,M,Probable drowning with post-mortem bites,U,Evening,"Reported by media as shark attack, but shark involvement prior to death was not confirmed"
1273,2008.04.17,Invalid,AUSTRALIA,Queensland,Surfing,M,2 puncture wounds to leg,U,11h00,Shark involvement not confirmed; thought to be a barracuda bite
1274,2008.04.15,Unprovoked,USA,Florida,Surfing,M,Puncture wounds to right foot,N,15h00,1.5' to 2' shark
1275,2008.04.09.R,Unprovoked,FIJI,,Spearfishing,M,Left forearm bitten ,N,,
1276,2008.03.25,Unprovoked,USA,Florida,Wading,M,Shin bitten,N,,6' shark
1277,2008.04.08.R,Unprovoked,USA,Florida,Surfing,,Foot bitten,N,,
1278,2008.04.08,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,FATAL,Y,08h05,Bull shark
1279,2008.04.03,Unprovoked,USA,Florida,Walking out of the water after surfing,M,Right foot & ankle bitten,N,12h00,
1280,2008.03.28.c,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing from surfski,M,Right leg bitten,N,,
1281,2008.03.28.b,Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,18h50,4' to 5' shark
1282,2008.03.28.a,Unprovoked,USA,Florida,Boogie Boarding,M,Right foot bitten,N,,a small shark
1283,2008.03.23,Unprovoked,USA,Florida,Walking out of the water after surfing,M,Three small lacerations/ punctures to right foot,N,11h30,2.5' shark
1284,2008.03.21,Unprovoked,USA,Florida,Wading,M,Two 3-inch lacerations to right ankle,N,15h53,
1285,2008.03.15,Unprovoked,USA,Florida,Jet skiing,M,Minor injury,N,Afternoon,Shark involvement not confirmed
1286,2008.03.07,Unprovoked,USA,California,Surfing,M,"No injury to surfer, surfboard bitten by the shark",N,08h00,White shark
1287,2008.02.24,Unprovoked,BAHAMAS,Northern Bahamas,Diving,M,"Leg bitten, FATAL",Y,10h00,"A bull shark, according to some of the divers on the boat"
1288,2008.02.21.R,Unprovoked,FRENCH POLYNESIA,Society Islands,Spearfishing,M,Lacerations to face,N,,
1289,2008.02.15,Unprovoked,USA,Florida,Surfing,M,Lacerations to foot,N,17h00,
1290,2008.02.07,Unprovoked,AUSTRALIA,New South Wales,Surfing,F,Abrasions to elbow; collided with shark,N,,1 m shark
1291,2008.02.06,Unprovoked,USA,Florida,Surf-skiing,M,Lacerations to foot,N,,3' shark
1292,2008.01.30,Provoked,JAPAN,Tokyo Bay,Diving,M,"No injury, captive shark attempted to bite diver's arm PROVOKED INCIDENTt",U,,"Goblin shark, 4.2'"
1293,2008.01.29,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf-skiing,M,"No injury to surf-skiier, shark holed ski",N,,"Blacktip shark, 2m"
1294,2008.01.27,Provoked,AUSTRALIA,Queensland,Accidentally stood on hooked shark's tail before attempting to gut it ,M,Laceration to left knee PROVOKED INCIDENT,N,07h30,"Mako shark, 90kg"
1295,2008.01.19.R,Invalid,NEW ZEALAND,South Island,Wading,M,"Stingray envenomation, not a shark",U,,No shark involvement
1296,2008.01.14,Boat,NEW ZEALAND,North Island,Attempting to chase shark out to sea,,"No injury to occupants, pontoon punctured",N,14h00,"Bronze whaler shark, 4m"
1297,2008.01.10,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,,a small shark
1298,2008.00.00.b,Provoked,USA,Florida,Fishing for snapper,M,Minor injury to hand by hooked shark   PROVOKED INCIDENT,N,,"Nurse shark, 10'"
1299,2008.00.00.a,Unprovoked,MEXICO,Baja California,Surfing,M,Leg bitten,N,,Possibly a hammerhead shark
1300,2007.12.21,Unprovoked,ECUADOR,Galapagos Islands,Surfing,M,Lacerations & puncture wounds  to left thigh,N,,3 m shark
1301,2007.12.19,Invalid,BRITISH VIRGIN ISLANDS,Green Bay,Scuba diving,M,Shark bites were post-mortem,U,,Invalid
1302,2007.12.18,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe lacerations to right buttock,N,11h00,2 m shark
1303,2007.12.15,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Lacerations to hand,N,,"""a small shark"""
1304,2007.12.14,Invalid,AUSTRALIA,New South Wales,Swimming,M,Lacerations to left forearm,U,20h30,Not a shark attack; it was a hoax
1305,2007.12.10,Unprovoked,USA,Hawaii,Surfing,M,"No injury, shark bit surfboard ",N,"""Just before 11h00""",Tiger shark
1306,2007.12.09,Unprovoked,NEW ZEALAND,South Island,Surfing,F,"No injury, shark bit surfboard & severed leash",N,,
1307,2007.12.07,Unprovoked,BRAZIL,Pernambuco,Removing fish from a trap,M,20 cm injury to left foot,N,,2.27 m shark
